config,outdir,hostSeconds_ROI,simSeconds_ROI,simInsts,cycles,IPC,CPI,L1I_accesses,L1I_misses,L1I_MPKI,L1D_accesses,L1D_misses,L1D_MPKI,L1_total_MPKI,L2_accesses,L2_misses,L2_MPKI,TLB_accesses,TLB_misses,TLB_miss_rate
fs_o3,log/fs_o3,28.06,0.004612,9317019,13851299,0.6726,1.4867,941559,31444,3.3749,4332959,224984,24.1476,27.5225,249387,48401,5.1949,5556089,21123,0.003802
fs_timing,log/fs_timing,6.36,0.006957,7508469,20892803,0.3594,2.7826,9837286,5555,0.7398,3609044,114631,15.2669,16.0067,176415,32541,4.3339,13465209,13109,0.000974
se_o3,log/se_o3,73.88,0.010507,31414506,31552562,0.9956,1.0044,4335167,1480,0.0471,9579117,382014,12.1604,12.2075,448792,80584,2.5652,14715372,31706,0.002155
se_timing,log/se_timing,22.15,0.02207,31414193,66275318,0.474,2.1097,42238379,890,0.0283,10374598,299815,9.5439,9.5723,449138,70858,2.2556,52613121,31503,0.000599
