config,cpu_dynamic_w,cpu_static_w,l3_dynamic_w,l3_static_w,total_dynamic_w,total_static_w,total_w
core_num2,8.008442,100.0,298.185217,100.0,306.193659,200.0,506.193659
core_num4,16.016884,100.0,298.185217,100.0,314.202101,200.0,514.2021010000001
cpu_freq_2GHz,8.008442,100.0,298.185217,100.0,306.193659,200.0,506.193659
cpu_freq_3GHz,8.012662,100.0,447.616726,100.0,455.629388,200.0,655.6293880000001
l3_size_2MB,8.008442,100.0,298.185217,100.0,306.193659,200.0,506.193659
l3_size_4MB,8.008442,100.0,298.185217,100.0,306.193659,200.0,506.193659
